소분류,바코드,제품명,제조사,유통기한,소비기한-유통기한
김치,8809216851190,백김치,도미솔식품,50,180.0
김치,8809334529339,유기농백김치,농업회사법인주식회사담채원,60,180.0
김치,8809357600107,포기김치,주식회사 진미푸드지점,90,180.0
우유,8801115114611,후레쉬밀크,서울우유협동조합 안산공장,12,45.0
햄,8809353600170,명품돈.삽겹바베큐,(주)산호푸드시스템,45,7.0
햄,8809350310034,훈제닭가슴살바베큐,(주)햇살푸드시스템,360,7.0
묵,8809130210363,도토리묵,(주)수암,20,0.0
육류,8809257828816,손수허브향담은촉촉한닭가슴살,주식회사 아워홈,30,180.0
육류,8809411050190,돼지양념갈비,주식회사 우보식품,15,180.0
김치,8809334529377,유기농백김치,농업회사법인주식회사담채원,60,180.0
두부,8809352640030,하루에한모수제두부,다원푸드,247,90.0
묵,8809050810438,월매네깻묵,노고단식품,30,0.0
육류,8809363090022,산들다온 유자삼겹,(주)대명에프에스,180,180.0
육류,8809411051418,오리고추장불고기,주식회사 우보식품,15,180.0
어묵,8801066100473,이마트 야채사각어묵,(주)사조대림,12,3.0
육류,8809062259034,양념닭꼬치(매콤한맛),참마음식품,5,180.0
김치,8809334527694,담채원 오이김치,농업회사법인주식회사담채원,60,180.0
김치,8809216851206,보쌈김치,도미솔식품,50,180.0
소시지,8809354580068,참지음 5가지맛 후랑크,농업회사법인 행복주식회사,40,7.0
육류,8802112000426,민속양념편육,(주)중앙식품,20,180.0
김치,8801316121920,볶음김치,농업회사법인 주식회사 한울,60,180.0
어묵,8803767033012,고급 사각어묵 야채맛,미도식품,1,3.0
육류,8801077666104,숀리닭가슴살비엔나 오리지날 Fresh,(주)진주햄,35,180.0
김치,8803760000073,깍두기,신동식품(주),60,180.0
육류,8809360450171,흰여울 양념 매콤 주물럭,흰여울푸드(주),20,180.0
햄,8809405820051,오리너비아니,유진식품,45,7.0
김치,8803601001412,한성총각김치,(주)한성식품서산지점,30,180.0
