제품명,바코드,유통기한,소분류,제조사
백김치,8809216851190.0,50,김치,도미솔식품
유기농백김치,8809334529339.0,60,김치,농업회사법인주식회사담채원
포기김치,8809357600107.0,90,김치,주식회사 진미푸드지점
후레쉬밀크,8801115114611.0,12,우유,서울우유협동조합 안산공장
명품돈.삽겹바베큐,8809353600170.0,45,햄,(주)산호푸드시스템
훈제닭가슴살바베큐,8809350310034.0,360,햄,(주)햇살푸드시스템
도토리묵,8809130210363.0,20,묵,(주)수암
부산어묵,8809025430111.0,8,어묵,(주)부산해정식품
손수허브향담은촉촉한닭가슴살,8809257828816.0,30,육류,주식회사 아워홈
돼지양념갈비,8809411050190.0,15,육류,주식회사 우보식품
유기농백김치,8809334529377.0,60,김치,농업회사법인주식회사담채원
하루에한모수제두부,8809352640030.0,1,두부,다원푸드
월매네깻묵,8809050810438.0,30,묵,노고단식품
산들다온 유자삼겹,8809363090022.0,180,육류,(주)대명에프에스
오리고추장불고기,8809411051418.0,15,육류,주식회사 우보식품
이마트 야채사각어묵,8801066100473.0,12,어묵,(주)사조대림
양념닭꼬치(매콤한맛),8809062259034.0,5,육류,참마음식품
담채원 오이김치,8809334527694.0,60,김치,농업회사법인주식회사담채원
보쌈김치,8809216851206.0,50,김치,도미솔식품
참지음 5가지맛 후랑크,8809354580068.0,40,소시지,농업회사법인 행복주식회사
민속양념편육,8802112000426.0,20,육류,(주)중앙식품
볶음김치,8801316121920.0,60,김치,농업회사법인 주식회사 한울
고급 사각어묵 야채맛,8803767033012.0,1,어묵,미도식품
숀리닭가슴살비엔나 오리지날 Fresh,8801077666104.0,35,육류,(주)진주햄
깍두기,8803760000073.0,60,김치,신동식품(주)
흰여울 양념 매콤 주물럭,8809360450171.0,20,육류,흰여울푸드(주)
오리너비아니,8809405820051.0,45,햄,유진식품
한성총각김치,8803601001412.0,30,김치,(주)한성식품서산지점
숯불닭구이,8809377760188.0,360,육류,주식회사 디딤
동치미,8803601010490.0,28,김치,(주)한성식품서산지점
양반포기김치,8801047585176.0,45,김치,(주)동원F&B
맛김치,8801047587293.0,28,김치,(주)동원F&B
동부묵,8809146731913.0,15,묵,(주)한울타리식품
양념갈매기살,8809399880116.0,360,육류,산과들에프엔씨
꾸이마루,8809029030058.0,12,어묵,삼진식품(주)
갓김치,8809071460650.0,90,김치,영식품
어묵,8803573229388.0,10,어묵,(주)부산식품
민속양념편육,8802112000440.0,20,육류,(주)중앙식품
돼지보쌈,8809407550024.0,30,육류,국민푸드
순대국거리,8809090570163.0,40,육류,대성식품
오리불고기,8809226810606.0,10,육류,(주)씨지엠
삼호 부산어묵 종합,8801242048612.0,0,어묵,씨제이 씨푸드 주식회사
불고기후랑크,8809406030077.0,30,소시지,농업회사법인 킹스테이블(주)
이태리안피자치즈,8801155643010.0,90,치즈,(주)동원F&B 수원공장
이플러스베이컨,8809013402847.0,25,베이컨,에쓰푸드홀딩스 주식회사
한성열무김치,8803601010643.0,45,김치,(주)한성식품서산지점
춘천닭갈비 조리용,8809321270084.0,30,육류,(주)정미푸드
조림묵,8809183070600.0,15,어묵,해맑은 식품(주)
월매네청포묵,8809050810247.0,30,묵,노고단식품
총각김치,8802547301020.0,60,김치,영농조합법인 아라김치
뉴른버그쉬네켄,8802266006329.0,40,소시지,(주)오뗄
검은깨 올방개묵,8809261140010.0,10,묵,(주)맑은해오름
총각김치,8803760000325.0,60,김치,신동식품(주)
화끈닭근위구이,8809331506869.0,30,육류,주식회사 아워홈
호야참숯날개바베큐,8809321270039.0,25,육류,(주)정미푸드
미니족,8809354270037.0,60,육류,(주)참누리푸드시스템
등심바베큐,8809021759001.0,60,햄,(주)이푸드
돼지양념갈비,8809411051111.0,15,육류,주식회사 우보식품
참지음 치즈맛 후랑크,8809354580099.0,40,소시지,농업회사법인 행복주식회사
월매네도토리묵,8809050810117.0,30,묵,노고단식품
김치소시지,8809013403127.0,40,소시지,에쓰푸드홀딩스 주식회사
전철우 LA소갈비,8809089630045.0,7,육류,(주)하늘단 성서지점
부산어묵,8809025430104.0,8,어묵,(주)부산해정식품
순백사각,8801066100251.0,13,어묵,(주)사조대림
쫄깃한 약속 조림볶음용 봉,8801066150959.0,13,어묵,(주)사조대림
유기농백김치,8809334529308.0,60,김치,농업회사법인주식회사담채원
IFF 순살정육,8801492351449.0,360,육류,(주)하림
치즈어묵,8801793072531.0,15,어묵,(주)환공식품
돼지왕구이용,8809343350313.0,15,육류,(주)고향미트
솥둠비,8809114612206.0,15,두부,농업회사법인서문식품주식회사
춘천닭갈비,8809391150019.0,7,육류,춘천닭갈비영농조합법인
꿀맛구이용갈비,8809347801125.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
야채돌이,8801066200227.0,10,어묵,(주)사조대림
부산을숙도어묵,8809025430128.0,11,어묵,(주)부산해정식품
블루베리오리바베큐,8809354310092.0,45,햄,장안푸드
담채원 총각김치,8809334527113.0,90,김치,농업회사법인주식회사담채원
안가네 천년의맛 묵은지,8802257066288.0,90,김치,농업회사법인(주)대광에프앤지
게맛살,8801066490093.0,25,어묵,(주)사조대림
참프레 후라이드치킨,8809385943214.0,270,육류,(주)참프레
어사또,8801066100824.0,12,어묵,(주)사조대림
열무김치,8803104908058.0,90,김치,한국농협김치조합공동사업법인충북지사
뚜부,8808330222862.0,20,두부,(주)오빌식품
천하장군,8801066100510.0,13,어묵,(주)사조대림
덕궁합 오리 훈제바베큐,8809230651134.0,40,햄,농업회사법인 (주)올참
크라비아,8801066511088.0,40,어묵,(주)사조대림
부산어묵목련,8809028891537.0,13,어묵,(주)서울식품
깍두기,8809416780023.0,150,김치,농업회사법인(유)해오름식품
곤약누들,8808397021101.0,180,묵,(주)대신물산
구들장돼지불고기,8809021450328.0,10,육류,구들장식품(주)
청미원델리로인햄,8809153711229.0,30,햄,농업회사법인(주)청미원식품
족발,8809245290229.0,60,육류,주식회사 정일품
담채원 열무김치,8809334527236.0,90,김치,농업회사법인주식회사담채원
오향족발,8809344630155.0,60,육류,(주)토자연
연탄직화고추장불고기,8809370980019.0,365,육류,포만식품
후랑크소시지,8809369670327.0,20,소시지,(주)우와돈
로스트햄,8807022000696.0,45,햄,주식회사 태림에프웰
조기살 어묵,8801066150034.0,13,어묵,(주)사조대림
돼지양념갈비,8809411050183.0,15,육류,주식회사 우보식품
통불닭발,8809353680004.0,180,육류,(주)제이닷피
무뼈양념닭발,8809411051562.0,15,육류,주식회사 우보식품
야채맛어묵,8804006000079.0,13,어묵,(주)부산식품
조기어묵롤,8801066104051.0,12,어묵,(주)사조대림
김밥 愛(애) 쏘옥,8801066513259.0,40,어묵,(주)사조대림
감칠미,8809022350283.0,15,어묵,(주)대광에프앤씨
오리고추장불고기,8809411050527.0,15,육류,주식회사 우보식품
족발훈제바베큐,8809226810873.0,45,햄,(주)씨지엠
열무김치,8809186721615.0,31,김치,태영식품
참 진어묵,8803767020074.0,1,어묵,미도식품
천하짱,8801077638903.0,40,소시지,(주)진주햄
한돈주물럭,8809347801040.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
흰여울 한돈매콤 주물럭,8809360450362.0,20,육류,흰여울푸드(주)
매운맛소시지,8802266006374.0,40,소시지,(주)오뗄
비스카나페볼,8801077540107.0,30,소시지,(주)진주햄
이마트 야채어묵,8801066101593.0,12,어묵,(주)사조대림
별미포기김치,8803856000390.0,30,김치,(주)진보식품
손두부,8809112992546.0,3,두부,삼영식품
대신해초곤약,8808397010013.0,180,묵,(주)대신물산
게맛살,8801066490079.0,25,어묵,(주)사조대림
게맛살골드,8801066500105.0,25,어묵,(주)사조대림
웰콕양념닭갈비(다리살),8809332735015.0,10,육류,(주)현진
닭발편육,8809062250239.0,40,육류,참마음식품
깍두기김치,8809356100028.0,60,김치,농업회사법인(주)운림가
유미원전두부(저온),8809355010021.0,15,두부,아이디네이처(주)
담채원 열무김치,8809334527212.0,90,김치,농업회사법인주식회사담채원
오징어 볼,8803767020012.0,1,어묵,미도식품
부산어묵목련,8809028892145.0,13,어묵,(주)서울식품
은말이,8809022350078.0,11,어묵,(주)대광에프앤씨
대림선맛살,8801066500112.0,25,어묵,(주)사조대림
유기농백김치,8809334529391.0,60,김치,농업회사법인주식회사담채원
먹똥주물럭,8809253770201.0,360,육류,햇잎푸드 제1공장
야채튀김어묵,8801066104730.0,13,어묵,(주)사조대림
흰여울양념돈왕구이,8809360450003.0,20,육류,흰여울푸드(주)
담채원 석박지,8809334527410.0,90,김치,농업회사법인주식회사담채원
치즈맛 탱탱 후랑크,8809406030114.0,30,소시지,농업회사법인 킹스테이블(주)
유기농 성이시돌 목장 우유,8804434000047.0,16,우유,농업회사법인 주식회사 제주우유
호야 직화 참숯 순살바베큐 후레쉬,8809321270190.0,30,육류,(주)정미푸드
월매네도토리묵,8809050810469.0,30,묵,노고단식품
튀김 생선 어묵,8809013470105.0,12,어묵,(주)부산가덕도식품
예당두부(찌개용),8801491400513.0,19,두부,(주)두솔
찐어묵매,8801066151307.0,25,어묵,(주)사조대림
요플레 오리지널 마일드,8801104240642.0,18,육류,(주)빙그레
유기농포기김치,8809334529094.0,365,김치,농업회사법인주식회사담채원
동원양반포기김치,8801047590309.0,35,김치,(주)동원F&B
몽,8809183070556.0,15,어묵,해맑은 식품(주)
뼈없는 허브 치킨,8801492355904.0,40,햄,(주)하림
제주흑돼지 불고기맛소시지,8809374860041.0,40,소시지,농업회사법인주식회사제주돈육수출센터
야채맛어묵,8805184013318.0,12,어묵,(주)부산어묵
대묵,8803767028025.0,10,어묵,미도식품
깍뚜기,8809219950111.0,28,김치,인광식품
달콤한 무뼈불닭발,8809321270398.0,365,육류,(주)정미푸드
흰여울양념돈왕구이,8809360450027.0,20,육류,흰여울푸드(주)
도이치모듬소시지,8801227124546.0,270,소시지,(주)사조오양 평택공장
한돈주물럭,8809347800173.0,15,육류,농업회사법인 꿀맛나는세상 주식회사
양반맛김치,8801047590170.0,45,김치,(주)동원F&B
살코기비엔나,8809406030039.0,30,소시지,농업회사법인 킹스테이블(주)
고추장LA돼지갈비,8809343350283.0,15,육류,(주)고향미트
